,영상 제목,링크,분류,text,likes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,육식주의 vs 채식주의가 아니라 과학자vs종교인으로밖에 인보이는데...?,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,육식을 좋다 나쁘다 비건이 좋다 나쁘다를 떠나서 서로의 신념을 강요 하지 맙시다^^,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,02:44 말 길게 나누셨나봄.. 해가 지네,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,축산방법과 도축방법은 진짜로 개선되어야한다고생각함,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,ㅋㅋㅋㅋㅋㅋ 고통을 느끼냐 안느끼냐면 안락사면 괜찮은거 아님? 왜 안된다함??,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,비판과 비난옳다면 아끼지말자 하지만 그렇지 않으면 자신이 비난과 비판의 대상이다,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,모두가 득을 보는 사회가 어디있나 인류역사상 희생없이 무언가를 얻었던적이 있었던가?,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"비건 정상
육식 정상
비건 강요 = 미친놈",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,뭘먹던 결국 유전자가 안 좋거나 운동 안하면 일찍 뒈지는겁니다. 평생 삼시세끼 안성탕면만 드시고도 아직 건강하게 살아있는 할아버지도 계십니다. 한의학의 체질의학이 대단한게... 고기건 채소건 다 체질에 맞는 음식이 있는거고 체질에 맞는 음식과 운동 + 건강한 유전자 이 삼박자가 맞아야하죠. 몽골인들은 고기만 먹어도 오래 삽니다.,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,육식 채식 좀 자기가 알아서 쳐먹는건데 욕좀 하지말자,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,정말 좋은 컨텐츠의 영상이네요.  서로의 의견을 존중 해서 교수님 말 대로 차선책의 모두가 득을 볼 수 있는 결과가 나왔으면 좋겠습니다. 육식을 줄이고 채식을 늘리는 사람으로써 이런 영상 화이팅 👍,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,나는 영상을 너무 잘 만들어서 ... 그게 더 .. 감동이내요...,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,4:24 ㅋㅋ 조상들은 고기를 일부러 안먹은 줄 아나 없어서 못먹었지,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,곡식위주의 채식을 하니까 배고픔은 덜함 확실히 자연상태의 탄수화물 위주로 먹어야함,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,편집이랑 기획 진짜 잘하셨다. good video,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,조선시대에도 고기를 먹긴 먹었지만 귀해서 지금처럼 자주먹지 못해서 채식이 많은거지. 채식으로 때우려니까 밥도 세숫대야로 먹는거고,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,아니....근데 채식을 강요하고 왜 도덕적으로 우월하단식으로 저러냐구? 수렵과채집을통해 인류는 진화하고 살아왔다.,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,혼자서 하거나 원하는 사람들에게만 말해야 됌. 이건 처음에 너무 힘들어. 나는 일상이 돼서 그렇지. 다른 사람에게 생활방식을 강요할 수는 없으니까.,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,이의철님이당,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,축산학과 교수님 카메라 초점 나간거 너무 신경쓰인다 ㅠㅠ 젠장,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,배양육 발전에 박차를 가합시다!!! 배양육이 미래다!!!,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,저분들은 동물이 고통을 느끼니까 도덕적 지위를 가진다는 말인데 그러면 생명을 죽일까 말까를 단지고통을 느끼냐 안느끼냐에 따라 결정한다는건가,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,4:22 과거(수렵),20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,채식하던 육식하던 재발 남에게 요구 하지 맙시다.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,좋은 영상이네요. 많은 생각을 하게 합니다.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,우리가 먹는 고기도 육식이나 잡식이 있는데..,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"답:각자 먹고 싶으거 먹는일
참고로 남이 비판하면 그냥 무시",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,3:37 이사람 강한 마취제랑 수면제 ㄴㅈ써서 고통없이 죽이면 불만 없는건가,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,정말 궁금한게 혹시 아프리카나 아마존 밀림에 자연의 일부로 살아가는 원시 부족들에게도 채식을 강요할수있나?,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,식물도 고통느낀다는 연구 결과 있습니다~!,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,3:24 고통을 못느끼면 죽여도 된다면 동물도 안락사 시켜서 먹으면 되겠네 ㅋㅋ,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,4:23,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,고기먹는사람 정상/채식만하는사람 정상/고기먹는다고뭐라하는사람비정상/가축의고통을줄이자는사람 정상,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,고기마시따!,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,이런 봐도 먹으니 무항생제 말고 동물복지 농장 드셈,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,업진살 살살녹는다잇ㅋㅋ,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"Q. 식물은 생명 아니야? 식물은 고통 안 느껴? A. 식물이 고통을 느끼느냐에 대한 과학적 논쟁은 계속되고 있습니다. 식물이 고통을 느낀다는 것은 하나의 가설이지만, 동물이 고통스러워하는 것은 진실이죠. 동물은 때리면 울부짖어요. 식물은 생명이 아니냐고 묻는다면 당연히 식물도 소중한 생명이므로 식물을 아끼고 보호하기 위해서라도 더 채식해야 합니다. 1kg의 소고기를 생산하려면 16kg의 곡물이 필요해요. 축산업이 과도하게 식물과 생태계를 파괴하는 것은 사실입니다.",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,동물복지 실천하면 좋지 ~ 대신 집앞에 삼겹살집에서 쏘주한잔하고 13 만원정도 나오겠다,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,N0(노 체식주의자) 식물도 생명입니다. 꼬우면 식물먹지마,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,다양한 관점의 의견을 들을 수 있어서 좋았어요.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,결론:고기만 많이 먹지 말자,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"자신의 고통과 타인의고통 제3자의고통을 얘기한사람이 있었다. 자신의 고통은 가장 원초적인 직접적인고통이다. 타인의 고통은 자신과 관련된 사람의 고통이다. 가족이나 친구나.. 제3자의 고통은 전혀 일면식없던 사람이나 여기서 말하는 동물이.될수도있을것같다. 나는 아직 내 주위의 사람들이 더중요하고, 그사람들의 고통을 헤아릴수있을때 제3자의 고통을 헤아릴수있을것같다..나는.아직부족하다",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"채식 주의자 많아지면 고기값 줄어드니까...
개꿀 근데 채소도 좋은데.. 균형있게 대충 반반이 조을덧ㅋ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,죽이는건 같은데 행복하게와 불쌍하게라.. 아이러니 하네요,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,인간은 육식이 아니라 잡식이다. 육식이라고 몰아가지 맙시다.,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,동물이랑 인간에게 같은 복지를 바라는것도 이상한데? 그리고 지금먹는 과일이나 채소도 대부분 개량한거잖아,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,채식한다하면 오지랖 부리는 사람 너무 많아서 괴롭다...채식하다 일찍죽는다면 알아서 혼자 죽을테니까 제발 내버려 두세요 서로 터치하지 맙시다,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,2:12 분뇨가 문제면 차라리 사람을 줄이세요 ㅋㅋㅋㅋㅋㅋㅋ 굉장히 어이없는 주장 하시는데 사람줄이면 사람들이 배출하는 분뇨도 줄고 고기먹는 입도 줄고 고기에대한 수요가 줄어드니까 공급도 줄어들고 가축의 분뇨도 줄겠네요! 와우!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,전제 자체가 틀린데.....사람이랑 동물을 같은 위치에 놓는다는게....애완동물까지는 보호해야 한다고 해도 식재료로 길러진 동물은.....,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,진짜 좋은컨텐츠고 생각이 많아짐. 양쪽의 의견들이 대부분 고집스럽지 않고 시청자한테 이런저런 생각을 할수있게 히는 영상인듯,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 지구를 위해 이산화탄소 배출하지마,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,4:24 과거 전통이 뭔데 대체 언제 얘기를 하는거지,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,0:25 ㅠ튵ㅋㅋㅋㅌㅋㅋ 억울하셨나버ㅏ,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,2:49 갑자기 분위기 사회주의 ㅋㅋ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 고기를 적당히 먹고 채소를 많이 먹는 게 낫지 서로 강요를 안 했으면 좋겠다,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,아 걍 둘다 먹어!!!!!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 님들 생각대로 먹으삼 ㅋㅋㅋㅋㅋ 남한테 강요안하고 피해아주면 그만임,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,ㅋㅋ.ㅋ.ㅋ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,평소 축산업 질문하고싶었는데 나오네요,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,머 건강상의 문제인가 하고 봤더니......에라이~,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,마지막 앤딩음악 mika-happy ending,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 인간이 지구에 나쁜것만 주는 생명인데 인간이 없어져야하지않을까?,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,통점이 없어서 먹어도 된다는 얘길 듣고 말문이 막혔다,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 육식 할란다,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,한국 인구수에 대하여 하루동안 배추 하나로 샐러드를 만들어 먹는 다면 계절 하나도 못 버텨서 해외에서 엄청나게 사들여 해야되서 국가 기금까지다 써야 되는데 고기랑 같이 먹어야 덜 들지,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,각 진영 교수님들이 논리적으로 잘말하네요,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,썸네일 고기 나만 순간 인공기로봄?,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,펙트:먹는건 내자유니 그런거 가지고 편견갖지말자 대놓고 개인자유 침해하는행위는 공산주의나 마찬가지다 축산이 개선되긴해야됨,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,이제는 그런시대  아니니 하는 걸로 이해하면,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,재밌네요,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,문학 단어 아닌데,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"""그렇게 심한 얘기를 하셨어요?...""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,타협점을 찾아야지,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,이거 보면 황성수 박사님께서(채식주의자)이시니 무조건 채식하자고 하고 저같은 육식주의자들을 뭐라고 하지 않을까 저는걱정되요,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,난 육식파다.,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,비건인 논리적인 분 있는데 두분 가지고 녹색당 있고,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,식물은 고통을 못느껴서 먹어도 된다. 동물은 고통을 느껴서 안된다. 안락사를 하면 고통이 없다. 근데 안락사는 안된다,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 각자 원하는거 먹으면서 살면안되나 초식 육식동물 있듯이,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,맛있고 저렴한 인조고기가필요하다,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,이래서 항상 **주의..그 놈의 주의들은 갈등을 유발하지ㅋ민족주의 공산주의 민주주의 육식주의 채식주의ㅋ육식주의를 보면 서방세계 약육강식 약탈개척주의자들같고 채식주의를 보면 성리학 씹선비들 수구사대당 보는것같다,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,마장동 사람들 앞에서 비건한다하면 칼로 베여진다.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"수렵 채집 하면서도 잡은 곰 제사지내주는게 인간이었어요. 생물을 죽이고 피를 보고, 그 살점을 뜯어먹는데 여러가지 윤리적인 생각이 드는건 인간으로서 당연한겁니당.",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,두부가 답이다,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,https://youtu.be/XPW062dkWWE 한글자막도 있으니 키고보삼,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,뭐든 강요는 놉!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,자김맘 이님?,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그래도 영상 재밌네 신선해용,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,육식 한명이랑 다수랑 붙여놓네 ㅋㅋㅋ,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,확실한 것은 채식주의자들은 절대 일반인에게 강요할 수 없다.,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그럼 채식주의는 문제야 라는발언을 채식주의자 앞에서할때(상대방이 채식주이자라는사실을알고있음) 그걸 문제라고하면 그건 개인이아니라 그 방식을 비난하는건가요???,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,난 둘다먹어야지,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,"채식 이겨라,",42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,프루트테리언 힘들거같으니까 비건 하는거지,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,도덕적 우월감은 그 무엇보다 달콤하고 중독성이 강함.,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,몸에 좋다면 디톡스 할거면서,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,아니근데 채식을 하던말던 신경안쓸테니까 일찍 뒤지던 말던 지들끼리 놀면안되나 왜이렇게 간섭하지,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,그냥 자기 갈길 가지...,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,자연 한번씩 가면서 동물이 더 자연인데,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,육식논쟁 (feat. 채식주의) ,https://youtu.be/qH2aJ96_Px4,이슈,아 몰라 강요하지맙시다,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
